NOM DU MUSEE;ADR;CP;VILLE;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;JOURS NOCTURNES
Musée des Musiques Populaires - MuPop;3, Rue Notre Dame;3100;MONTLUCON;www.mupop.fr;du 1er au 27 janvier, 1er amis, 25 décembre;16 septembre au 30 avril (baisse saison) de 14h à 18h et le matinsur rdv et du 2 mai au 15 septembre (haute saison) de 10h à 19h;
Centre National du Costume de Scène et de la Scénographie;"Quartier Villars
Route de montilly";3000;MOULINS;www.cncs.fr;25 décembre, 1erjanvier, 1er mai et lors du montage des expositions;Ouvert tous les jours de 10h à 18h, en juillet-août de 10h à 19h;
Musée Anne de Beaujeu;"1, Avenue Victor Hugo
B.P. 1669";3016;MOULINS Cedex;www.mab.allier.fr;1er janvier, 25 décembre, 1er mai;Ouvert de septembre à juin du mardi au samedi de 10h à 12h et de 14h à 18h, dimanches et jours fériés de 14h à 18h. En juillet-août ouvert du lundi au samedi de 10h à 12h30 et de 14h à 18h30, dimanches et jours fériés de 14h à 18h30;
Musée Rieckotter;"Hôtel de Ville
Boulevard des Arène - B.P. 10";3310;NERIS-LES-BAINS;www.ville-neris-les-bains.fr;;Ouvert d'avril à octobre du mercredi au samedi de 14h30 à 18h;
Musée Municipal de Souvigny;Place Aristide Briand;3210;SOUVIGNY;site de la ville www.ville-souvigny.com;1er mai, 25 décembre, 1er janvier - Mars;Ouvert d'avril à mai et d'octobre à mi- novembre du mercredi au lundi de 9h à 12h et de 14h à 18h, de juin à septembre tous les jours de 9h à 12h et de 14h à 18h, en juillet-août de 9h à 12h et de 14h à 19h;
Musée des Arts D'Afrique et D'Asie;11, Rue Mounin;3200;VICHY;www.musee-aaa.com;;Ouvert du mardi au dimanche de 14h à 18 h de début mai à fin octobre;
Musée des Sciences;Château Saint Etienne;15000;AURILLAC;www.aurillac.fr;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert de janvier à mi-juin et de septembre à décembre du mardi au samedi de 14h à l8h et de mi-juin au 4 septembre du lundi au samedi de 10h à 18h30 et le dimanche de 14h à 18h30;
Musée d'Art et d'Archéologie;"Centre Culturel Pierre Mendès France
37, rue des Carmes";15012;AURILLAC Cedex;www.ville-aurillac.fr;;"Ouvert de février à novembre du mardi au samedi de 10h à 12h et de 14h à 18h, le dimanche de 14h à 18h en juillet-août
Expositions temporaires (Ecuries) du lundi au samedi de 13h30 à 18h30
Expositions temporaires (Sellerie) du mardi au samedi de 14h à 1";
Ecomusée de Margeride-Haute-Auvergne;"La Tour
Jardin de Saint-Martin";15320;RUYNES-EN-MARGERIDE;http://www.saint-flour.fr/culture/musees/ecomusee-margeride.php;Décembre et janvier;Ouvert tous les jours en juin et septembre tous les jours de 14h à 18h et en juillet aôut tous les jours de 10h à 13h et de 15h à 19h;
Musée d'art et d'histoire Alfred Douët;"Maison consulaire
17, Place d'Armes";15100;SAINT-FLOUR;Site de la ville;1er mai, jours fériés du 16/10 au 14/04;Ouvert du 2 mai au 30 septembre tous les jours de 10h à 12h et de 14h à 18h, du 1er octobre au 30 avril du lundi au samedi de 10h à 12h et de 14h à 17h;
Musée de la Haute Auvergne;"Palais épiscopal
1, Place d'Armes";15100;SAINT-FLOUR;www.auvergne-centrefrance.com/geotouring/musees/detail/mus154.htm;1er mai, jours fériés du 01/10 au 30/04;Ouvert du 2 mai au 30 septembre tous les jours de 10h à 12h et de 14h à 18h, du 1er octobre au 30 avril le lundi et du mercredi au samedi de 10h à 12h et de 14h à 17h;
Musée de Paléontologie;Place de l'église;43380;CHILHAC;http://www.museechilhac.fr;;Ouvert (Pâqes à la Toussaint) avril à juin et de septembre à Toussaint le dimanche et jours fériés de 14h à 18h, et en juillet-août tous les jours de 10h à 12h et de 15h à 19h;
Musée des Arts et Traditions Populaires de Haute Loire;;43100;LAVAUDIEU;Site des amis de Lavaudieu - www.abbayedelavaudieu.fr;Décembre à mars;Ouvert d'avril à juin, et de septembre à novembre du mercredi au lundi de 10h à 12h et de 14h à 18h, en juillet-août tous les jours de 10h à 12h45 et de 14h à 18h45;
Musée Crozatier;Jardin Henri Vinay;43000;LE PUY-EN-VELAY;www.lepuyenvelay.fr;Novembre à mai;Ouvert de juin à septembre de 10h à 13h et de 14h à 19h et d'octobre à novembre de 10h à 12h et de 14h à 16h;
Musée des Manufactures de Dentelles;14, avenue de la Gare;43130;RETOURNAC;www.ville-retournac.fr/musee/francais/indexfr.htm;1er mai, 24, 25 et 31 décembre, 1er janvier;Ouvert tous les jours de 14h à 18h et de 14h à 19h en juillet-août;
Musée de la Ferblanterie;;43300;SAINT ARCONS D'ALLIER;;;;
Musée de la Dentelle;53, Route Nationale;63220;ARLANC;www.arlanc.com/musee_dentelle.htm;Décembre à mi mars;Ouvert du 1er mai au 30 juin week-end et jours fériés de 14h à 18h, du 1er juillet au 31 août tous les jours de 14h à 18h,  du 1er au 30 septembre les week-end de 14h à 18h;
Musée d'Archéologie Bargoin;45, rue Ballainvilliers;63000;CLERMONT-FERRAND;www.clermont-ferrand.fr/-Musee-Bargoin-.html;;Ouvert du mardi au samedi de 10h à 12h et de 13h à 17h, le dimanche de 14h à 19h;
Musée d'Art Roger-Quillot;"Quartier historique de Montferrand
Place Louis Deteix";63100;CLERMONT-FERRAND;http://museedart.clermont-ferrand.fr;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert du mardi au vendredi de 10h à 18h et du samedi au dimanche de 10h à 12h et de 13h à 18h;
Muséum d'Histoire Naturelle Henri-Lecoq;15, rue Bardoux;63000;CLERMONT-FERRAND;www.museelecoq.clermont-ferrand.fr ou www.clermont-ferrand.fr/-Museum-Henri-Lecoq-.html;Jours fériés;Ouvert d'octobre à avril du mardi au samedi de 10h à 12h et de 14h à 17h dimanche de 14h à 17h, du 1er mai au 30 septembre de 10h à 12h et de 14h à 18h;
Musée Départemental de la Céramique Gallo-Romaine;"39, Rue de la République
B.P. 30";63190;LEZOUX;"www.puydedome.fr rubrique ""découvrir le Puy-de-Dôme""";Janvier, 1er mai, 1er novembre, 25 décembre;Ouvert du mercredi au lundi de novembre à avril de 10h à 17h et de mai à octobre de 10h à 18h;
Musée des Pénitents Blancs;Place de l'Eglise;63940;MARSAC-EN-LIVRADOIS;www.livradois.com/marsac/penitent/index.htm;;Ouvert en Juillet et août tous les jours de 14h30h à 18h30, hors saison sur rendez-vous;
Musée Paléontologique;Le Bourg;63560;MENAT;;Janvier, février, mars;Ouvert de Pâques à fin mai week-end et jours fériés de 10h30 à 12h et de 14h à 18h30 et de juin à septembre du mercredi au lundi de 10h30 à 12h et de 14h à 18h30;
Musée Lapidaire;Place de l'Abbaye;63200;MOZAC;www.riom-communaute.fr;;Visite incluse dans visite globale de l'abbatiale Saint-Pierre de Mozac qui a lieu les jeudis à 15h pendant les vacances scolaires d'octobre à mai et les jeudis, vendredis, dimanches à 15h de juin à septembre;
Musée Municipal;Parc du Prélong;63790;MUROL;www.musee-murol.net/Musee.htm;1er janvier, 1er mai, 25 décembre. Entre les vacances de la Toussaint et celles de Noël, celles de Noël et celles d'hiver;Ouvert du 1er juin au 31 octobre tous les jours de 10h à 12h et de 14h30 à 18h30. Le reste de l'année durant les vacances scolaires (sauf mardi), les week-ends, jours fériés de 14h à 18h;
Musée Régional d'Auvergne;10 bis, Rue Delile;63200;RIOM;www.riom-communaute.fr;De décembre à mars;Ouvert du mardi au dimanche de 10h à 12h et de 14h à 17h30, et en  juillet-août de 10h à 18h;
Musée Francisque Mandet;14, Rue de l'Hôtel de Ville;63200;RIOM;www.riom-communaute.fr;;Ouvert du mardi au dimanche de 10h à 12h et de 14h à 17h30 de septembre à juin, et en  juillet-août de 10h à 18h;
Musée Municipal de la Coutellerie;58, Rue de la Coutellerie;63300;THIERS;www.ville-thiers.fr/Musee-de-la-Coutellerie;Janvier àprès les vacances scolaires, 1er mai, 24 et 25 décembre;"Ouverture du musée d'octobre à mai du mardi au dimanche de 10h à 12h et de 14h à 18h, en juin et septembre tous les jours de 10h à 12h et de 14h à 18h, en juillet-août tous les jours de 10h à 12h30 et de 13h30 à 19h.
Ouverture de la Vallée des Rouets de";
Musée Municipal Marcel Sahut;2, rue des Ecoles;63530;VOLVIC;www.volvic-tourisme.com/HTML/sites/site_musee.htm;;Ouvert d'avril à octobre du mardi au dimanche de 14h à 18h. Pour les groupe sur réservation de novembre à mars;
Muséoparc - Alésia;1, Route des Trois Ormeaux;21150;ALISE-SAINTE-REINE;www.alesia.com;Janvier pour le centre d'interprétation et pour les vestges janvier au 14 février et du 15 novembre au 31 décembre;"Ouverture du site des vestiges de la ville gallo-romaine du 15 février au novembre 2013 de 10h à 17h14
Le centre d'interprétation est ouvert du 1er février au 1er janvier 2014 de 10h à 17h
Ouverture des deux du 1er avril au 30 juin et du 1er septembre";
Musée Bonaparte;"Bibliothèque Municipale
Passage Xavier Girault";21130;AUXONNE;Site des musées de la région ou site de la ville;1er mai;Ouvert de mai à septembre tous les jours de 10h à 12h et de 15h à 18h;
Musée des Beaux-Arts;"Porte Marie de Bourgogne
6, boulevard Perpreuil";21200;BEAUNE;www.musees-bourgogne.org ou www.beaune.fr;;Ouvert du mercredi au lundi de 11h à 13h et de 14h à  18h;
Musée E.J Marey;Hôtel de Ville;21200;BEAUNE;www.musees-bourgogne.org;;;
Musée du Vin de Bourgogne;"Hôtel des Ducs
Rue d'Enfer";21200;BEAUNE;www.musees-bourgogne.org ou www.beaune.fr;;Ouvert du 1er mai au 30 septembre tous les jours de 9h30 à 18h, du 1er octobre au 30 novembre et du 1er au 30 avril du mercredi au dimanche de 9h30 à 18h1er décembre au 31 mars 9h30 à 17h du mercredi au dimanche;
Musée de la Sidérurgie Grande Forge;La Grande Forge;21500;BUFFON;;;;
Musée du Pays Châtillonnais - Trésor de Vix;14, Rue de la Libération;21400;CHATILLON-SUR-SEINE;www.musee-vix.fr;1er janvier, 1er mai, 11 novembre, 25 & 31 décembre;Ouvert du 1er septembre au 30 juin du mercredi au lundi de 9h à 12h et de 14h à 18h et du 1er juillet  au 31 août tous les jours de 10h à 19h;
Musée Magnin;4, rue des Bons Enfants;21000;DIJON;www.musee-magnin.fr;1er janvier et 25 décembre;Ouvert du mardi au dimanche de 10h à 12h et de 14h à 18h;
Musée de la Vie Bourguignonne, Perrin de Puycousin;"Monastère des Bernardines
15-17, rue Sainte-Anne";21000;DIJON;www.musees-bourgogne.org;1er janvier, 1er et 8 mai, 14 juillet, 1er et 8 novembre, 25 décembre;Ouvert du mercredi au lundi de 9h à 12h et de 14h à 18h;
Musée François Rude;8, Rue Vaillant;21000;DIJON;http://mba.dijon.fr ou www.ville-dijon.fr;1er janvier, 1er et 8 mai,14 juillet, 1er et 11 novembre, 25 décembre;Ouvert de mai à octobre du mercredi au lundi de 9h30 à 18h et de novembre à avril de 10h à 17h;
Musée d'Art Sacré;"Monastère des Bernardines
15-17, rue Sainte-Anne";21000;DIJON;Site des musées de Bourgogne;1er janvier, 1er et 8 mai, 14 juillet, 1er et 11 novembre, 25 décembre;Ouvert du mercredi au lundi de 9h à 12h et de 14h à 18h;
Muséum - Jardin des Sciences;"Parc de l'Arquebuse
14, Rue Jehan de Marville - 1 Avenue Albert 1er";21000;DIJON;www.dijon.fr;;Ouvert le lundi et du mercredi au vendredi de 9h à12h30 et de 14h à 18h, samedi et dimanche de 14h à 18h. En juillet août de 14h à 19h. Le mardi ouvert sur réservation pour les groupes;
Musée Archéologique;"5, Rue du Docteur Maret
CS 73310";21033;DIJON Cedex;Site des musées de Bourgogne - www.musees-bourgogne.org;1er janvier, 1er et 8 mai, 14 juillet, 1er et 11 novembre, 25 décembre;Ouvert du 1er avril auu 31 octobre du mercredi au dimanche de 9h30 à 12h30 et de 14h à 18h, du 1er novembre au 31 mars les mercredis, samedis et dimanches de 9h30 à 12h30 et de 14h à 18h;
Musée des Beaux-Arts;"Palais des Ducs et des Etats de Bourgogne
CS 73310";21033;DIJON Cedex;http://mba.dijon.fr ou www.ville-dijon.fr;1er janvier, 1er & 8 mai, 14 juillet, 1er & 11 novembre, 25 décembre;Ouvert du mercredi au lundi du 2 mai au 31 octobre de 9h30 à 18h et du 2 novembre au 30 avril de 10h à 17h;Mercredi de 19h à 21h
Musée Noisot;Mairie de Fixin;21220;FIXIN;Site des musée de Bourgogne;;Ouvert du 16 avril au 17 spetembre samedi et dimanche de 14h30 à 18h30;
Musée des Arts et Traditions des Hautes-Côtes;1 PLACE DE LA FONTAINE;21220;GEVREY-CHAMBERTIN - Reulle Vergy;;;;
Musée des Beaux-Arts;"Chapelle des Ursulines
Rue Piron";21500;MONTBARD;http://www.montbard.com/;Septembre à juin;Ouvert du 1er juillet au 31 août du mercredi au lundi de 10h à 12h et de 14h à 18h;
Musée Buffon;"Anciennes Ecuries de Buffon
B.P. 90";21506;MONTBARD cedex;http://www.montbard.com/ ou Site des musées de Bourgogne;Fermé du 24 décembre au 1er janvier;Ouvert du 1er avril au 30 septembre de 10h à 12h et de 14h à 18h du mercredi au dimanche (et lundi en juillet-août) et du 1er octobre au 31 mars de 10h à 12h et de 14h à 17h du mercredi au dimanche;
Musée Municipal;12, Rue Camille Rodier;21700;NUITS-SAINT-GEORGES;Site des musées de Bourgogne;;Ouvert du 2 mai au 31 octobre du mercredi au lundi de 10h à 12h et de 14h à 18h. Pour les groupes ouverture sur réservation toute l'année;
Musée Municipal François Pompon;3, Place du Docteur Roclore;21210;SAULIEU;Site des musées de Bourgogne ou www.saulieu.fr;Janvier et février, 1er mai et 25 décembre;Ouvert du 1er avril au 30 septembre le lundi 10h à 12h30, du mercredi au samedi de 10h à 12h30 et de 14h à 18h et du 1er octobre au 31 décembre et en mars de 10h à 12h30 et de 14h à 17h30. Dimanches et jours fériés de 10h30 à 12h et de 14h30 à 17h;
Musée Municipal;3, Rue Jean-Jacques Collenot;21140;SEMUR-EN-AUXOIS;Site des musées de Bourgogne;;Ouvert du 1er octobre au 31 mars, lundi, mercredi, jeudi vendredi de 14h à 18h, du 1er avril au 30 septembre lundi, mercredi, jeudi et vendredi et week-end de 14h à 18h, dont du 1er juin au 30 septembre lundi, mercredi, jeudi et vendredi de 10h à 12h30 et;
Musée du Septennat;6, rue du Château;58120;CHATEAU-CHINON;www.cg58.fr;Du 1er janvier jusqu'aux vacances de février, le 25 décembre;Ouvert des vacances de février au 30 avril et du 1er octobre au 31 décembre de 10 à 12h et de 14 à 18h,du 1er mai au 30 juin et en septembre de 10 à 13h et de 14 à 18h - Juillet/août tlj de 10 à 13h et de 14 à 19h;
Musée du Costume;16-18, rue Saint Christophe;58120;CHATEAU-CHINON;www.cg58.fr/patrimoi/costu.htm;Du 1er janvier jusqu'aux vacances de février, le 25 décembre;Ouvert des vacances de février au 30 avril et du 1er octobre au 31 décembre de 10 à 12h et de 14 à 18h,du 1er mai au 30 juin et en septembre de 10 à 13h et de 14 à 18h - Juillet/août tlj de 10 à 13h et de 14 à 19h;
Musée d'Art et d'Histoire Romain Rolland;Avenue de la République;58500;CLAMECY;www.musees-bourgogne.org;du 16 novembre au 15 mars, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert du 16 mars au 30 avril de 10h à 12h et de 14h à 18h;
Musée de la Loire de Cosne sur Loire;Place de la Résistance;58200;COSNE-SUR-LOIRE;www.mairie-cosnessurloire.fr/Services/MUSEEE/ACCUEIL.htm;Du 25 décembre au 31 janvier;Ouvert de mars à octobre de 10h à 12h et de 14h à 18h. De novembre à février de 10h à 12h et de 14h à 17h30;
Musée Municipal;33, Rue des Chapelains;58400;LA CHARITE-SUR-LOIRE;Site de l'OTSI ou des musées de Bourgogne;Octobre à mai;Ouvert de juin à septembre de 10h à 12h et de 15h à18h. Pendant les expositions du mercredi au dimanche de 10h à 12h et de 15h à 18h;
Musée de la Mine;1, Avenue de la République;58260;LA MACHINE;www.cc-loire-foret.fr ou www.cg58.fr et Site des musées de Bourgogne;1er mai et du 1er novembre au 28 février;Ouvert du 1er mars au 14 juin et du 16 septembre au 31 octobre les dimanches et jours fériés de 14h à 18h, du 15 juin au 15 septembre tous les jours de 14h à 18h. Ouvert pour les groupes (+ 12 pers.) tous les jours sur rendez-vous du 1er mars au 31 octobr;
Musée Archéologique du Nivernais (Porte du Croux);"Société Nivernaise des Lettres et Sciences et Arts
Rue de la Porte du Croux";58000;NEVERS;Conseil général;;Ouvert uniquement lors des journées européennes du patrimoine;
Musée de la Faïence Frédéric Blandin;16, rue Saint-Genest;58000;NEVERS;www.musee-faience.nevers.fr;;;
Musée Ernest Guédon;17, quai Jules-Pabiot;58150;POUILLY-SUR-LOIRE;;;;
Musée du Grès de Puisaye;Château de Saint-Amand;58310;SAINT-AMAND-EN-PUISAYE;www.cg58.fr - Site musées de Bourgogne;D'octobre à fin fin mars;Ouvert du 1er juin au 30 septembre tous les jours de 10h à 12h30 et de 14h30 à 18h30;
Musée Auguste Grasset;Place de la Mairie;58210;VARZY;www.cg58.fr ou www.musees-bourgogne.org;Janvier et février;Ouvert du 1er avril au 30 octobre, dimanche et lundi de 14h à 18h et du mercredi au samedi de 10h à 12h et de 14h à 18h, en juillet-août tous les jours de 10h à 12h30 et de 14h à 19h, dimanche de 14h à 19h;
Museum d'Histoire Naturelle Jacques de La Comble;14, Rue Saint-Antoine;71400;AUTUN;www.autun.com/tourisme/museum.php;Jours fériés;Ouvert de septembre à mai le mercredi de 14h à 17h et sur rendez-vous les autres jours et de Juin à août de 14h à 17h30 du mercredi au dimanche;
Musée Lapidaire Saint-Nicolas;Rue Saint Nicolas;71400;AUTUN;;;;
Musée Rolin;5, rue des Bancs;71400;AUTUN;www.autun.com ou Site des musées de Bourgogne;1er mai, 14 juillet, 1er et 11 novembre, du 15 décembre au 21 février inclus;Ouvert du 1er octobre au 14 décembre et du 2 mars au 31 mars du lundi au samedi de 10h à 12h et de 14h à 17h, le dimanche de 14h30 à 17h et du 1er avril au 30 septembre de 9h30 à 12h et de 13h30 à 18h, juillet à septembre de 10h à 13h et de 14h à 18h;
Musée Verger Tarin;Rue des Sous-Chantres;71400;AUTUN;;;;
Musée de la Mine;34, rue du Bois Clair;71450;BLANZY;www.ecomusee-creusot-montceau.fr Site des musées de Bourgogne et de l'écomusée;;Ouvert de mi-mars à fin juin le week-end et jours fériés, en juillet-août du mercredi au lundi, de septembre à novembre le week-end et jours fériés. Sinon tous les jours sur réservation pour les groupes;
Musée Saint-Nazaire;Rue St Nazaire;71140;BOURBON-LANCY;Site des musées de Bourgogne ou www.bourbon-lancy.com/musees_fr_02_07_02.html;;Ouvert en juillet août de 15h à 18h - ouverture exceptionnelle lors de la nuit des musées et JEP et sur demande;
Musée Nicéphore Niepce;28, Quai des Messageries;71100;CHALON-SUR-SAONE;www.museeniepce.com;23 décembre au 2 janvier + jours fériés;Ouvert de septembre à juin de 9h30 à 11h45 et de 14h à 17h45 et en juillet-août de 10h à 18h;
Musée Denon;Place de l'hotel de ville;71100;CHALON-SUR-SAONE;site des musées de Bourgogne;Jours fériés;Ouvert du mercredi au lundi de 9h30 à 12h et de 14h à 17h30;
Musée du Prieuré de Charolles;Rue du Prieuré;71120;CHAROLLES;Site des musées de Bourgogne ou site de la ville - http://www.ville-charolles.fr/musee-du-prieure;Janvier à mars;Ouvert en mai tous les week-end de 14h à 18h, en juillet-aoûtdu mercredi au lundi de 10h à 12h et de 14h à 18h, en juin et septembre du mercredi au lundi de 14h à 18h;
